Day, Coyotes count, Coyotes Born, Coyotes Died, AverageRunSpeed, AverageRadius, AverageStamina
1,10,10,0,13,100,10
2,10,0,0,13,100,10
3,10,0,0,13,100,10
4,10,0,0,13,100,10
5,10,0,0,13,100,10
6,11,1,0,13.24396,100.4945,10
7,12,1,0,13.45524,99.05051,10
8,13,1,0,13.51752,99.57718,10
9,14,1,0,13.33339,99.49742,10
10,17,3,0,13.246,102.3685,10
11,19,2,0,13.13095,101.8805,10
12,19,0,0,13.13095,101.8805,10
13,19,0,0,13.13095,101.8805,10
14,19,0,0,13.13095,101.8805,10
15,19,0,0,13.13095,101.8805,10
16,19,0,0,13.13095,101.8805,10
17,19,0,0,13.13095,101.8805,10
18,19,0,0,13.13095,101.8805,10
19,19,0,0,13.13095,101.8805,10
20,19,0,0,13.13095,101.8805,10
21,19,0,0,13.13095,101.8805,10
22,19,0,0,13.13095,101.8805,10
23,19,0,0,13.13095,101.8805,10
24,19,0,0,13.13095,101.8805,10
25,19,0,0,13.13095,101.8805,10
26,19,0,0,13.13095,101.8805,10
27,19,0,0,13.13095,101.8805,10
28,19,0,0,13.13095,101.8805,10
29,19,0,0,13.13095,101.8805,10
30,19,0,0,13.13095,101.8805,10
31,19,0,0,13.13095,101.8805,10
32,19,0,0,13.13095,101.8805,10
33,19,0,0,13.13095,101.8805,10
34,19,0,0,13.13095,101.8805,10
35,19,0,0,13.13095,101.8805,10
36,19,0,0,13.13095,101.8805,10
37,19,0,0,13.13095,101.8805,10
38,19,0,0,13.13095,101.8805,10
39,19,0,0,13.13095,101.8805,10
40,19,0,0,13.13095,101.8805,10
41,19,0,0,13.13095,101.8805,10
42,19,0,0,13.13095,101.8805,10
43,19,0,0,13.13095,101.8805,10
44,19,0,0,13.13095,101.8805,10
45,19,0,0,13.13095,101.8805,10
46,19,0,0,13.13095,101.8805,10
47,19,0,0,13.13095,101.8805,10
48,19,0,0,13.13095,101.8805,10
49,19,0,0,13.13095,101.8805,10
50,19,0,0,13.13095,101.8805,10
51,19,0,0,13.13095,101.8805,10
52,19,0,0,13.13095,101.8805,10
53,19,0,0,13.13095,101.8805,10
54,19,0,0,13.13095,101.8805,10
55,19,0,0,13.13095,101.8805,10
56,19,0,0,13.13095,101.8805,10
57,19,0,0,13.13095,101.8805,10
58,19,0,0,13.13095,101.8805,10
59,19,0,0,13.13095,101.8805,10
60,19,0,0,13.13095,101.8805,10
61,19,0,0,13.13095,101.8805,10
62,19,0,0,13.13095,101.8805,10
63,19,0,0,13.13095,101.8805,10
64,19,0,0,13.13095,101.8805,10
65,19,0,0,13.13095,101.8805,10
66,19,0,0,13.13095,101.8805,10
67,19,0,0,13.13095,101.8805,10
68,19,0,0,13.13095,101.8805,10
69,19,0,0,13.13095,101.8805,10
70,19,0,0,13.13095,101.8805,10
71,19,0,0,13.13095,101.8805,10
72,19,0,0,13.13095,101.8805,10
73,19,0,0,13.13095,101.8805,10
74,19,0,0,13.13095,101.8805,10
75,19,0,0,13.13095,101.8805,10
76,19,0,0,13.13095,101.8805,10
77,19,0,0,13.13095,101.8805,10
78,19,0,0,13.13095,101.8805,10
79,19,0,0,13.13095,101.8805,10
80,19,0,0,13.13095,101.8805,10
81,19,0,0,13.13095,101.8805,10
