Day, Coyotes count, Coyotes Born, Coyotes Died, AverageRunSpeed, AverageRadius, AverageStamina
1,10,10,0,11.4,100,10
2,10,0,0,11.4,100,10
3,10,0,0,11.4,100,10
4,10,0,0,11.4,100,10
5,10,0,0,11.4,100,10
6,11,1,0,11.37644,99.34829,10
7,11,2,2,11.08477,98.93053,10
8,12,1,0,11.17882,100.6995,10
9,11,0,1,11.15872,100.7631,10
10,12,2,1,10.85362,99.16595,10
11,13,1,0,10.89585,97.98809,10
12,14,1,0,10.85212,99.06306,10
13,15,1,0,11.0293,98.67995,10
14,16,1,0,10.90608,100.1317,10
15,16,0,0,10.90608,100.1317,10
16,17,1,0,10.80791,100.472,10
17,18,1,0,10.80778,100.8681,10
18,18,1,1,11.03309,100.242,10
19,18,1,1,11.21597,97.69666,10
20,15,0,3,11.17917,97.23599,10
21,16,1,0,11.05874,96.27733,10
22,16,0,0,11.05874,96.27733,10
23,18,2,0,11.23229,97.14536,10
24,19,1,0,11.09075,96.55148,10
25,19,0,0,11.09075,96.55148,10
26,19,1,1,11.12626,94.98087,10
27,18,0,1,11.11105,94.70203,10
28,16,0,2,11.22536,95.61925,10
29,16,0,0,11.22536,95.61925,10
30,14,0,2,11.28016,94.06217,10
Day, Trees count, Trees Born, Trees Died, AverageHeight
1,70,70,0,2.015123
2,70,0,0,2.015123
3,67,7,10,2.059656
4,83,29,13,2.146839
5,75,7,15,2.296292
6,85,15,5,2.300191
7,83,8,10,2.362626
8,86,5,2,2.374239
9,85,5,6,2.432339
10,81,4,8,2.452094
11,82,5,4,2.473325
12,75,1,8,2.518607
13,68,2,9,2.558264
14,65,0,3,2.587786
15,60,1,6,2.596467
16,57,0,3,2.611275
17,53,1,5,2.637624
18,50,0,3,2.63617
19,47,1,4,2.662951
20,44,1,4,2.671267
21,42,0,2,2.678239
22,41,1,2,2.660214
23,39,0,2,2.664395
24,38,0,1,2.666942
25,38,0,0,2.666942
26,35,0,3,2.694745
27,35,0,0,2.694745
28,35,0,0,2.694745
29,35,0,0,2.694745
30,34,0,1,2.713886
Day, Deers count, Deers Born, Deers Died, AverageRunSpeed, AverageRadius, AverageStamina, AverageNeckHeight, AverageStartFleeDistance
1,260,260,0,9,100,15,2,40
2,260,260,0,9,100,15,2,40
3,253,260,7,9,100,15,2,40
4,349,361,12,8.955506,99.05491,14.99183,1.978518,39.6316
5,409,424,15,8.99573,98.51455,14.90685,1.980305,39.83739
6,460,477,17,8.980907,98.20194,14.88239,1.969892,39.73703
7,501,548,47,8.981049,97.86729,14.85779,1.961977,39.56266
8,481,585,104,8.982025,98.11802,14.84706,1.957572,39.55103
9,463,629,166,8.977496,98.30963,14.90781,1.957453,39.54949
10,371,670,299,8.99677,98.59959,14.82694,1.997207,39.61995
11,314,703,389,8.968579,98.61295,14.90382,2.031886,39.338
12,272,735,463,8.997953,100.1817,14.99741,2.08259,39.48967
13,226,763,537,8.912042,100.846,15.00706,2.118654,39.40745
14,196,778,582,8.887194,100.2295,15.08844,2.151265,39.44597
15,174,794,620,8.948236,99.42925,15.15503,2.19696,39.6413
16,156,810,654,8.911497,98.99105,15.2298,2.217025,39.82772
17,134,823,689,8.974547,99.41078,15.37839,2.264997,39.67482
18,112,837,725,8.76056,99.57874,15.29116,2.33815,38.85114
19,95,845,750,8.676098,98.64592,15.25707,2.381725,39.06921
20,82,855,773,8.754179,99.56882,15.30162,2.41725,38.97561
21,70,863,793,8.934486,99.76583,15.07625,2.450291,39.02282
22,59,870,811,9.067076,101.3401,15.04619,2.47709,39.55878
23,48,875,827,9.548917,100.7182,15.06858,2.540649,39.50024
24,35,878,843,9.997839,98.18645,14.99383,2.529248,38.61808
25,25,880,855,10.39286,98.86112,14.76388,2.604109,38.38878
26,19,881,862,10.28943,98.38271,15.11808,2.677993,37.10975
27,9,881,872,10.95963,100.4262,15.63916,2.509627,36.47126
28,3,881,878,10.63037,100.5727,15.98992,2.732549,32.92982
29,3,881,878,10.63037,100.5727,15.98992,2.732549,32.92982
30,2,882,880,10.16487,109.4469,15.33412,2.447854,31.52829
