Day, Coyotes count, Coyotes Born, Coyotes Died, AverageRunSpeed, AverageRadius, AverageStamina
1,0,0,0,NaN,NaN,NaN
2,0,0,0,NaN,NaN,NaN
3,0,0,0,NaN,NaN,NaN
4,0,0,0,NaN,NaN,NaN
5,0,0,0,NaN,NaN,NaN
6,0,0,0,NaN,NaN,NaN
7,0,0,0,NaN,NaN,NaN
8,0,0,0,NaN,NaN,NaN
9,0,0,0,NaN,NaN,NaN
10,0,0,0,NaN,NaN,NaN
11,0,0,0,NaN,NaN,NaN
12,0,0,0,NaN,NaN,NaN
13,0,0,0,NaN,NaN,NaN
14,0,0,0,NaN,NaN,NaN
15,0,0,0,NaN,NaN,NaN
16,0,0,0,NaN,NaN,NaN
17,0,0,0,NaN,NaN,NaN
18,0,0,0,NaN,NaN,NaN
19,0,0,0,NaN,NaN,NaN
Day, Trees count, Trees Born, Trees Died, AverageHeight
1,30,30,0,1.926173
2,30,0,0,1.926173
3,31,3,2,1.918378
4,38,11,4,1.884958
5,41,8,5,1.954533
6,40,6,7,1.999892
7,40,5,5,2.106757
8,42,4,2,2.097081
9,39,3,6,2.259634
10,41,5,3,2.212351
11,39,1,3,2.295637
12,39,1,1,2.29734
13,38,1,2,2.339739
14,37,0,1,2.368768
15,37,1,1,2.361113
16,37,0,0,2.361113
17,37,0,0,2.361113
18,37,0,0,2.361113
19,37,0,0,2.361113
Day, Deers count, Deers Born, Deers Died, AverageRunSpeed, AverageRadius, AverageStamina, AverageNeckHeight, AverageStartFleeDistance
1,80,80,0,9,100,15,2,40
2,80,80,0,9,100,15,2,40
3,80,80,0,9,100,15,2,40
4,121,121,0,9.029462,99.20056,14.77756,2,40.1652
5,142,142,0,9.066657,99.31364,14.82211,2,40.59594
6,171,171,0,9.040378,99.19611,14.87226,2,40.30275
7,191,198,7,9.072863,99.20661,14.93513,2,40.33906
8,210,225,15,9.035997,99.06408,14.91785,2,40.20309
9,223,249,26,9.004512,99.42803,14.92173,2,40.08806
10,204,271,67,8.950298,99.97219,15.13369,2,39.80009
11,194,295,101,8.898371,100.1291,15.1985,2,39.50142
12,171,314,143,8.860026,99.66113,15.11712,2,39.26136
13,142,320,178,8.806631,100.534,15.13857,2,39.50212
14,116,325,209,8.720323,100.7322,15.24063,2,39.0129
15,85,326,241,8.712937,101.1274,14.90681,2,39.04736
16,57,328,271,8.517945,99.19843,14.76729,2,39.36208
17,38,328,290,8.426998,97.59072,14.684,2,39.17769
18,18,329,311,8.379947,98.4053,14.4667,2,40.00975
19,10,329,319,7.969855,97.79363,13.80693,2,42.19905
