Day, Coyotes count, Coyotes Born, Coyotes Died, AverageRunSpeed, AverageRadius, AverageStamina
1,0,0,0,NaN,NaN,NaN
2,0,0,0,NaN,NaN,NaN
3,0,0,0,NaN,NaN,NaN
4,0,0,0,NaN,NaN,NaN
5,0,0,0,NaN,NaN,NaN
6,0,0,0,NaN,NaN,NaN
7,0,0,0,NaN,NaN,NaN
8,0,0,0,NaN,NaN,NaN
9,0,0,0,NaN,NaN,NaN
10,0,0,0,NaN,NaN,NaN
11,0,0,0,NaN,NaN,NaN
12,0,0,0,NaN,NaN,NaN
13,0,0,0,NaN,NaN,NaN
14,0,0,0,NaN,NaN,NaN
15,0,0,0,NaN,NaN,NaN
16,0,0,0,NaN,NaN,NaN
17,0,0,0,NaN,NaN,NaN
18,0,0,0,NaN,NaN,NaN
19,0,0,0,NaN,NaN,NaN
20,0,0,0,NaN,NaN,NaN
21,0,0,0,NaN,NaN,NaN
22,0,0,0,NaN,NaN,NaN
23,0,0,0,NaN,NaN,NaN
24,0,0,0,NaN,NaN,NaN
25,0,0,0,NaN,NaN,NaN
26,0,0,0,NaN,NaN,NaN
27,0,0,0,NaN,NaN,NaN
28,0,0,0,NaN,NaN,NaN
29,0,0,0,NaN,NaN,NaN
Day, Trees count, Trees Born, Trees Died, AverageHeight
1,70,70,0,1.997961
2,70,0,0,1.997961
3,74,8,4,1.999863
4,104,34,4,2.015385
5,113,21,12,2.099536
6,118,16,11,2.153532
7,124,18,12,2.252705
8,134,19,9,2.334764
9,136,12,10,2.433553
10,137,13,12,2.534082
11,139,11,9,2.601007
12,140,9,8,2.702008
13,139,6,7,2.764557
14,139,6,6,2.847375
15,138,6,7,2.894861
16,135,5,8,2.992698
17,136,5,4,3.018805
18,139,11,8,3.110134
19,139,4,4,3.131814
20,141,7,5,3.166373
21,138,3,6,3.204146
22,143,7,2,3.266698
23,148,8,3,3.294094
24,153,5,0,3.327527
25,155,5,3,3.349864
26,154,2,3,3.383026
27,158,5,1,3.387196
28,160,3,1,3.402166
29,158,1,3,3.41139
Day, Deers count, Deers Born, Deers Died, AverageRunSpeed, AverageRadius, AverageStamina, AverageNeckHeight, AverageStartFleeDistance
1,101,101,0,9,99.30693,14.89604,2,40
2,101,101,0,9,99.30693,14.89604,2,40
3,101,101,0,9,99.30693,14.89604,2,40
4,144,144,0,9.016194,100.2506,14.81937,2.006284,40.1614
5,190,190,0,9.080752,100.7773,14.8746,2.010284,40.56316
6,233,233,0,9.093858,100.715,14.94352,2.000499,40.52635
7,271,277,6,9.089354,99.94041,14.8685,1.994587,40.36335
8,316,328,12,9.032253,99.90526,14.96146,1.988461,40.29674
9,360,383,23,9.014131,100.0117,15.01475,1.995577,40.50022
10,382,432,50,8.966189,100.1131,15.04869,2.01135,40.34825
11,393,480,87,8.929742,100.35,15.05559,2.011199,40.05236
12,378,515,137,8.877064,100.4897,14.98815,2.027891,40.12755
13,370,559,189,8.844753,100.6639,14.92151,2.045968,39.75081
14,319,582,263,8.834969,101.2779,14.89365,2.059067,39.54917
15,285,617,332,8.809035,101.6887,14.78924,2.089796,38.7868
16,249,648,399,8.599251,101.8984,14.8115,2.100342,38.34705
17,227,675,448,8.460033,101.831,14.80308,2.106411,38.08737
18,197,696,499,8.363901,101.2108,14.97701,2.120019,37.29263
19,187,719,532,8.288664,101.3047,14.99051,2.137435,37.41383
20,184,747,563,8.143596,101.6955,14.9969,2.194554,37.23074
21,178,769,591,8.178842,101.4064,15.05387,2.223201,37.41983
22,161,783,622,8.120321,101.2708,14.85766,2.318226,37.32915
23,144,796,652,7.966973,101.7818,14.92,2.412674,37.31456
24,131,804,673,7.937605,102.2034,14.89058,2.427664,37.23695
25,110,813,703,7.796789,103.3926,14.93859,2.541984,37.40837
26,89,825,736,7.691844,101.8778,15.03584,2.702079,36.44538
27,76,833,757,7.750937,102.9059,15.18042,2.771559,37.34023
28,76,842,766,7.824959,102.5983,15.07285,2.840919,36.79223
29,69,848,779,7.932919,101.1675,14.99167,2.926123,36.98759
