Day, Coyotes count, Coyotes Born, Coyotes Died, AverageRunSpeed, AverageRadius, AverageStamina
1,20,20,0,12,100,10
2,20,0,0,12,100,10
3,20,0,0,12,100,10
4,20,0,0,12,100,10
5,22,2,0,11.94402,100.1922,10.11651
6,27,5,0,11.92682,98.86164,10.22084
7,26,1,2,11.82208,99.0844,10.14042
8,23,0,3,11.79887,98.96498,10.15874
9,30,7,0,11.85045,97.29819,10.19336
10,32,2,0,11.70443,96.81921,10.1658
11,32,1,1,11.67042,96.47316,10.12965
12,40,9,1,11.73661,96.94829,10.18052
13,44,4,0,11.67042,98.29479,10.13783
14,47,4,1,11.59603,98.1449,10.21461
15,52,5,0,11.78585,98.2655,10.27975
16,59,7,0,11.77032,97.50011,10.24528
17,62,4,1,11.68894,97.3792,10.28792
18,68,8,2,11.54266,98.19546,10.24431
19,74,9,3,11.48027,98.51422,10.2115
Day, Trees count, Trees Born, Trees Died, AverageHeight
1,100,100,0,1.978349
2,100,0,0,1.978349
3,96,0,4,1.99623
4,87,0,9,2.029689
5,78,0,9,2.063338
6,70,0,8,2.125633
7,63,0,7,2.151507
8,59,0,4,2.167113
9,51,0,8,2.188887
10,46,0,5,2.222373
11,38,0,8,2.263526
12,34,0,4,2.310655
13,29,0,5,2.344303
14,25,0,4,2.353468
15,25,0,0,2.353468
16,22,0,3,2.31782
17,19,0,3,2.292476
18,19,0,0,2.292476
19,18,0,1,2.294272
Day, Deers count, Deers Born, Deers Died, AverageRunSpeed, AverageRadius, AverageStamina, AverageNeckHeight, AverageStartFleeDistance
1,140,140,0,13,100,15,2,40
2,140,140,0,13,100,15,2,40
3,136,140,4,13,100,15,2,40
4,176,192,16,12.96266,99.34676,15.0181,2.020304,40.07069
5,209,231,22,13.00897,99.00213,14.97074,2.028403,40.13428
6,238,268,30,13.03034,99.35947,14.84164,2.041766,40.37746
7,254,306,52,13.08163,99.83826,14.8547,2.063116,40.45658
8,253,330,77,13.20671,100.0355,14.85461,2.080512,40.42814
9,255,363,108,13.26951,100.502,14.87236,2.107299,40.3378
10,224,397,173,13.26027,101.4428,14.88517,2.154981,40.75233
11,187,422,235,13.25334,102.1878,14.82644,2.216208,41.04302
12,157,443,286,13.39489,101.5966,14.84301,2.277369,40.82277
13,125,461,336,13.5028,100.2662,14.94145,2.319807,41.36127
14,111,477,366,13.66642,99.29011,14.85544,2.372838,40.28032
15,90,492,402,13.51115,100.2499,14.7002,2.426792,41.54096
16,73,507,434,13.88471,98.05539,14.70848,2.401379,39.71111
17,47,517,470,13.89554,98.34024,15.04461,2.470672,39.93338
18,32,523,491,14.42472,99.54365,14.82959,2.470383,40.9316
19,14,527,513,15.25661,103.2081,14.81512,2.431547,43.59823
