Day, Coyotes count, Coyotes Born, Coyotes Died, AverageRunSpeed, AverageRadius, AverageStamina
1,14,14,0,11.4,90,9
2,14,0,0,11.4,90,9
3,14,0,0,11.4,90,9
4,14,0,0,11.4,90,9
5,15,1,0,11.50488,90.76347,9.066667
6,16,1,0,11.58628,91.56284,9.125
7,18,2,0,11.56924,91.92648,9.222222
8,20,2,0,11.57596,91.53993,9.3
9,20,0,0,11.57596,91.53993,9.3
10,21,2,1,11.63181,92.81244,9.333333
11,21,1,1,11.50511,91.97134,9.333333
12,21,0,0,11.50511,91.97134,9.333333
13,21,3,3,11.49633,96.24379,9.666667
14,20,2,3,11.5817,97.46313,9.65
15,19,1,2,11.56286,99.18349,9.631579
16,18,3,4,11.65737,100.9213,9.611111
17,19,1,0,11.88582,100.1391,9.631579
18,21,2,0,11.95386,99.59828,9.666667
19,16,0,5,12.17523,98.0429,9.5625
20,15,0,1,12.12219,96.38467,9.533334
Day, Trees count, Trees Born, Trees Died, AverageHeight
1,21,21,0,1.922862
2,21,0,0,1.922862
3,21,0,0,1.922862
4,31,10,0,1.905545
5,27,0,4,1.940643
6,26,4,5,2.026406
7,29,4,1,2.12846
8,24,1,6,2.209626
9,25,2,1,2.368131
10,24,2,3,2.423622
11,23,1,2,2.45177
12,23,2,2,2.474026
13,23,1,1,2.447968
14,24,3,2,2.433502
15,25,1,0,2.402605
16,25,2,2,2.337318
17,27,2,0,2.265241
18,27,1,1,2.190655
19,30,3,0,2.112286
20,34,4,0,1.973554
Day, Deers count, Deers Born, Deers Died, AverageRunSpeed, AverageRadius, AverageStamina, AverageNeckHeight, AverageStartFleeDistance
1,62,62,0,9,97.74194,14.66129,2,40
2,62,62,0,9,97.74194,14.66129,2,40
3,55,62,7,9,97.45454,14.61818,2,40
4,60,75,15,9.135679,97.5563,14.6472,1.997382,40.4874
5,70,92,22,9.047351,98.62109,14.92497,2.002523,41.06738
6,72,101,29,9.060575,99.30238,14.81994,1.988507,40.75924
7,70,112,42,9.069242,100.1598,14.81522,2.001176,41.1431
8,67,125,58,8.929664,100.4924,14.76987,2.007796,40.96423
9,64,134,70,8.94522,99.95479,14.83442,2.007514,41.23975
10,66,143,77,8.990282,100.6886,14.83162,2.006445,41.18951
11,62,148,86,9.062583,100.1862,14.74317,2.047993,40.65128
12,54,155,101,9.18979,99.23657,14.6786,2.041626,40.92825
13,49,161,112,9.311978,98.98443,14.94913,2.01192,40.86955
14,38,168,130,9.58882,97.46648,14.79675,2.044061,41.04002
15,32,171,139,9.793051,99.62258,14.74439,2.080576,41.57703
16,25,172,147,9.622904,100.6924,14.41238,2.167168,40.82853
17,15,172,157,9.869241,101.6544,14.14137,2.173941,40.79906
18,10,173,163,10.21895,103.1844,14.3491,2.097888,42.6645
19,3,173,170,11.28102,95.54494,13.51879,1.850494,43.78466
20,1,173,172,14.00302,81.05132,11.34013,2.502182,47.10338
