Day, Coyotes count, Coyotes Born, Coyotes Died, AverageRunSpeed, AverageRadius, AverageStamina
1,22,22,0,11.4,93.63636,9.363636
2,22,0,0,11.4,93.63636,9.363636
3,22,0,0,11.4,93.63636,9.363636
4,22,0,0,11.4,93.63636,9.363636
5,24,2,0,11.39547,94.77133,9.416667
6,30,6,0,11.37655,94.79137,9.533334
7,29,0,1,11.37574,94.61176,9.517241
8,32,3,0,11.28458,95.67738,9.5625
9,36,4,0,11.25029,96.54824,9.611111
10,39,4,1,11.19383,96.68526,9.641026
11,42,3,0,11.36318,96.59882,9.666667
12,45,4,1,11.41384,97.25943,9.688889
13,47,2,0,11.39909,97.34867,9.702127
14,48,3,2,11.46509,97.5589,9.708333
15,50,3,1,11.47853,98.31078,9.72
16,44,1,7,11.60855,97.94756,9.681818
17,29,0,15,11.70181,94.96548,9.517241
18,16,0,13,11.79324,101.0593,10
19,9,0,7,11.74937,102.7086,10
20,4,0,5,11.12945,100.7791,10
21,0,0,4,NaN,NaN,NaN
22,0,0,0,NaN,NaN,NaN
23,0,0,0,NaN,NaN,NaN
24,0,0,0,NaN,NaN,NaN
25,0,0,0,NaN,NaN,NaN
26,0,0,0,NaN,NaN,NaN
27,0,0,0,NaN,NaN,NaN
28,0,0,0,NaN,NaN,NaN
29,0,0,0,NaN,NaN,NaN
30,0,0,0,NaN,NaN,NaN
Day, Trees count, Trees Born, Trees Died, AverageHeight
1,31,31,0,1.942896
2,31,0,0,1.942896
3,31,2,2,1.959692
4,39,14,6,1.981206
5,35,3,7,2.077381
6,34,5,6,2.121017
7,31,3,6,2.174625
8,31,2,2,2.219751
9,27,0,4,2.316031
10,28,2,1,2.342114
11,26,1,3,2.358569
12,27,1,0,2.324221
13,27,0,0,2.324221
14,28,1,0,2.287452
15,29,1,0,2.26794
16,31,2,0,2.189221
17,31,0,0,2.189221
18,32,1,0,2.157345
19,33,1,0,2.128942
20,35,2,0,2.057766
21,36,1,0,2.030239
22,37,1,0,2.005935
23,38,1,0,1.989434
24,39,1,0,1.965022
25,40,1,0,1.960165
26,42,2,0,1.913157
27,44,2,0,1.880707
28,45,1,0,1.857221
29,47,2,0,1.82912
30,48,1,0,1.807214
Day, Deers count, Deers Born, Deers Died, AverageRunSpeed, AverageRadius, AverageStamina, AverageNeckHeight, AverageStartFleeDistance
1,122,122,0,9,98.85246,14.82787,2,40
2,122,122,0,9,98.85246,14.82787,2,40
3,107,122,15,9,99.34579,14.90187,2,40
4,119,152,33,8.9967,98.45536,14.82285,2.009146,40.48463
5,138,180,42,8.980611,99.11945,14.96486,2.010606,40.39169
6,142,199,57,9.00559,99.37166,14.89237,2.008643,40.50619
7,139,219,80,9.037151,98.77287,15.0036,2.006901,40.3415
8,124,232,108,9.059086,98.95483,15.14029,1.978829,40.59745
9,108,245,137,9.035667,98.33208,15.10301,1.978816,40.4383
10,83,254,171,9.022038,97.10085,15.04424,1.984901,40.23388
11,53,262,209,9.043571,98.18731,15.21057,1.980398,40.47617
12,23,263,240,9.487576,99.39141,15.30354,2.036363,40.39021
13,10,264,254,9.179098,96.55234,15.63635,2.025383,40.74874
14,2,264,262,8.970865,101.3687,14.47302,1.754537,37.21542
15,0,264,264,NaN,NaN,NaN,NaN,NaN
16,0,264,264,NaN,NaN,NaN,NaN,NaN
17,0,264,264,NaN,NaN,NaN,NaN,NaN
18,0,264,264,NaN,NaN,NaN,NaN,NaN
19,0,264,264,NaN,NaN,NaN,NaN,NaN
20,0,264,264,NaN,NaN,NaN,NaN,NaN
21,0,264,264,NaN,NaN,NaN,NaN,NaN
22,0,264,264,NaN,NaN,NaN,NaN,NaN
23,0,264,264,NaN,NaN,NaN,NaN,NaN
24,0,264,264,NaN,NaN,NaN,NaN,NaN
25,0,264,264,NaN,NaN,NaN,NaN,NaN
26,0,264,264,NaN,NaN,NaN,NaN,NaN
27,0,264,264,NaN,NaN,NaN,NaN,NaN
28,0,264,264,NaN,NaN,NaN,NaN,NaN
29,0,264,264,NaN,NaN,NaN,NaN,NaN
30,0,264,264,NaN,NaN,NaN,NaN,NaN
