Day, Coyotes count, Coyotes Born, Coyotes Died, AverageRunSpeed, AverageRadius, AverageStamina
1,18,18,0,11.4,92.22222,9.222222
2,18,0,0,11.4,92.22222,9.222222
3,18,0,0,11.4,92.22222,9.222222
4,18,0,0,11.4,92.22222,9.222222
5,21,3,0,11.72555,92.92745,9.333333
6,25,4,0,11.60579,91.80478,9.44
7,23,0,2,11.62369,91.09215,9.391304
8,25,2,0,11.42409,92.50272,9.44
9,29,4,0,11.42512,94.15081,9.517241
10,31,2,0,11.39022,94.87688,9.548388
11,31,0,0,11.39022,94.87688,9.548388
12,33,2,0,11.44882,95.28187,9.575758
13,38,5,0,11.34178,95.67644,9.631579
14,39,4,3,11.35126,95.28125,9.641026
15,42,4,1,11.59277,95.4118,9.666667
16,46,5,1,11.3836,94.77052,9.695652
17,48,4,2,11.47556,95.60172,9.708333
18,52,6,2,11.34596,96.95345,9.730769
19,51,4,5,11.55116,97.68082,9.725491
Day, Trees count, Trees Born, Trees Died, AverageHeight
1,51,51,0,2.102508
2,51,0,0,2.102508
3,51,4,4,2.146394
4,61,23,13,2.288529
5,61,6,6,2.374214
6,62,6,5,2.442555
7,57,2,7,2.50284
8,57,1,1,2.522535
9,57,3,3,2.548948
10,48,0,9,2.619737
11,48,2,2,2.638596
12,45,0,3,2.659149
13,42,1,4,2.694044
14,38,0,4,2.722587
15,35,0,3,2.750187
16,31,0,4,2.805744
17,30,0,1,2.811701
18,30,0,0,2.811701
19,30,0,0,2.811701
Day, Deers count, Deers Born, Deers Died, AverageRunSpeed, AverageRadius, AverageStamina, AverageNeckHeight, AverageStartFleeDistance
1,202,202,0,9,99.30693,14.89604,2,40
2,202,202,0,9,99.30693,14.89604,2,40
3,190,202,12,9,99.63158,14.94474,2,40
4,239,263,24,9.061187,99.78699,14.82644,2.005123,39.9595
5,268,302,34,9.03036,99.80122,14.75757,2.007021,40.03315
6,296,342,46,9.042806,100.4323,14.80625,2.013698,39.77113
7,279,369,90,9.068162,100.7021,14.76194,2.015504,39.85269
8,248,404,156,9.076214,100.5917,14.74233,2.016733,39.73726
9,251,440,189,9.072342,100.9551,14.71304,2.033408,39.74214
10,207,463,256,9.05168,100.825,14.75998,2.059033,39.7383
11,181,494,313,9.285089,100.0096,14.74315,2.122445,39.09717
12,159,511,352,9.259851,99.75857,14.72772,2.167752,38.99052
13,132,527,395,9.381607,100.0917,14.75594,2.200044,39.18023
14,106,540,434,9.445578,100.4645,14.72839,2.260111,39.74456
15,74,550,476,9.608017,100.0009,14.80426,2.339994,38.035
16,56,562,506,9.686324,99.97178,14.75138,2.39241,37.29507
17,35,569,534,9.905884,97.75744,14.25996,2.482929,38.0168
18,18,569,551,10.42617,98.88962,14.13368,2.43272,38.88806
19,6,570,564,11.07165,92.88656,13.30265,2.628354,37.32595
