Day, Coyotes count, Coyotes Born, Coyotes Died, AverageRunSpeed, AverageRadius, AverageStamina
1,12,12,0,11.4,88.33334,8.833333
2,12,0,0,11.4,88.33334,8.833333
3,12,0,0,11.4,88.33334,8.833333
4,12,0,0,11.4,88.33334,8.833333
5,12,0,0,11.4,88.33334,8.833333
6,13,1,0,11.46534,88.56416,8.923077
7,15,2,0,11.51927,89.51992,9.066667
8,14,1,2,11.66889,89.2588,9
9,15,1,0,11.83763,91.20635,9.066667
10,15,2,2,11.72689,95.66003,9.533334
11,15,0,0,11.72689,95.66003,9.533334
12,17,2,0,11.58256,95.74245,9.588235
13,19,2,0,11.45816,96.73782,9.631579
14,21,2,0,11.48326,97.38457,9.666667
15,22,1,0,11.46017,96.47512,9.681818
16,25,3,0,11.49939,97.58681,9.72
17,28,3,0,11.53992,97.75233,9.75
18,28,2,2,11.55949,98.393,9.75
19,28,1,1,11.70695,97.24015,9.75
20,32,5,1,11.69124,99.20412,9.78125
21,28,0,4,11.68093,99.21523,9.75
22,25,0,3,11.65195,97.33295,9.72
Day, Trees count, Trees Born, Trees Died, AverageHeight
1,36,36,0,2.048908
2,36,0,0,2.048908
3,33,1,4,2.052742
4,44,21,10,2.166634
5,44,6,6,2.188933
6,49,8,3,2.286171
7,53,8,4,2.300313
8,51,2,4,2.324854
9,56,7,2,2.313322
10,54,2,4,2.373976
11,53,3,4,2.405745
12,52,1,2,2.41498
13,52,2,2,2.429519
14,51,1,2,2.421852
15,50,2,3,2.401596
16,50,1,1,2.409275
17,52,2,0,2.410645
18,54,2,0,2.388884
19,53,0,1,2.389213
20,55,2,0,2.358453
21,55,0,0,2.358453
22,57,2,0,2.327246
Day, Deers count, Deers Born, Deers Died, AverageRunSpeed, AverageRadius, AverageStamina, AverageNeckHeight, AverageStartFleeDistance
1,202,202,0,9,99.30693,14.89604,2,40
2,202,202,0,9,99.30693,14.89604,2,40
3,196,202,6,9,99.28571,14.89286,2,40
4,249,261,12,9.025567,99.70959,14.96358,1.995623,40.17118
5,285,304,19,9.013646,100.3283,15.03026,1.980994,40.10473
6,306,329,23,9.055468,100.3746,14.97598,1.982402,40.2824
7,288,356,68,9.06926,100.3243,14.99594,1.98134,40.42922
8,247,383,136,9.04918,100.289,15.0569,1.985494,40.53372
9,243,410,167,9.025841,100.1609,15.0307,2.002064,40.59262
10,182,428,246,8.957799,101.0493,14.94663,2.039273,40.17154
11,149,446,297,8.826999,99.14879,14.85753,2.108638,40.05517
12,140,464,324,8.810028,99.59443,14.97559,2.160372,39.90024
13,114,476,362,8.594964,99.28336,15.00678,2.210636,39.89322
14,93,483,390,8.645362,99.58558,14.92062,2.203368,38.94948
15,66,491,425,8.403096,97.46817,15.04475,2.255473,38.0415
16,49,499,450,8.33075,96.64075,15.06209,2.307301,39.00814
17,33,504,471,8.339784,98.23826,14.48068,2.348751,39.23223
18,16,506,490,8.534401,96.68628,15.0276,2.503846,39.29005
19,7,506,499,8.158552,101.4724,14.80368,2.662667,34.02028
20,2,506,504,7.984009,79.78867,15.9944,2.31282,36.18633
21,0,506,506,NaN,NaN,NaN,NaN,NaN
22,0,506,506,NaN,NaN,NaN,NaN,NaN
