Day, Coyotes count, Coyotes Born, Coyotes Died, AverageRunSpeed, AverageRadius, AverageStamina
1,10,10,0,11.4,100,10
2,10,0,0,11.4,100,10
3,10,0,0,11.4,100,10
4,10,0,0,11.4,100,10
5,12,2,0,11.38898,99.30741,10
6,15,3,0,11.24851,101.089,10
7,15,0,0,11.24851,101.089,10
8,16,1,0,11.42356,102.4729,10
9,18,2,0,11.53179,103.1236,10
10,20,2,0,11.39163,104.3486,10
11,21,1,0,11.3411,103.7685,10
12,23,2,0,11.22187,102.322,10
13,24,3,2,11.16851,101.5145,10
14,24,2,2,11.34526,101.2875,10
15,27,3,0,11.3375,101.0501,10
16,31,4,0,11.10203,100.1433,10
17,32,1,0,11.0663,100.3236,10
18,36,4,0,11.08117,99.77786,10
Day, Trees count, Trees Born, Trees Died, AverageHeight
1,61,61,0,1.864035
2,61,0,0,1.864035
3,52,1,10,1.911648
4,64,24,12,2.012704
5,61,3,6,2.072047
6,65,10,6,2.134002
7,59,1,7,2.184367
8,60,5,4,2.260314
9,53,4,11,2.35191
10,50,1,4,2.423764
11,51,3,2,2.451631
12,46,1,6,2.514646
13,42,1,5,2.588864
14,42,1,1,2.609701
15,42,2,2,2.620445
16,41,0,1,2.628493
17,44,3,0,2.630821
18,45,1,0,2.647312
Day, Deers count, Deers Born, Deers Died, AverageRunSpeed, AverageRadius, AverageStamina, AverageNeckHeight, AverageStartFleeDistance
1,220,220,0,9,100,15,2,40
2,220,220,0,9,100,15,2,40
3,212,220,8,9,100,15,2,40
4,282,298,16,8.986803,100.0611,15.03721,2.00845,40.01618
5,332,352,20,9.039652,100.4715,14.97535,2.007526,40.25866
6,357,384,27,9.028648,100.5135,14.94424,2.012882,40.1007
7,349,417,68,9.006218,100.4187,14.89702,2.022213,39.86021
8,325,444,119,9.007356,100.3102,14.80208,2.029031,39.87815
9,319,472,153,9.004834,100.6476,14.85494,2.031152,40.07042
10,226,489,263,8.955982,101.0377,14.68908,2.05771,39.8577
11,190,513,323,8.85523,100.7212,14.78022,2.105622,39.94666
12,157,529,372,8.893443,100.6515,14.78134,2.115011,40.18276
13,138,543,405,8.799809,101.0993,15.03079,2.132674,39.94666
14,115,557,442,8.88711,101.4978,15.2191,2.136153,40.18348
15,84,567,483,9.144053,99.71551,15.28551,2.165927,40.44337
16,46,571,525,9.551776,101.7538,15.52332,2.145159,39.78858
17,30,572,542,9.83027,100.1338,15.33881,2.212376,39.11953
18,10,572,562,9.805098,99.87633,16.12769,2.366114,41.33689
