Day, Coyotes count, Coyotes Born, Coyotes Died, AverageRunSpeed, AverageRadius, AverageStamina,,
1,10,10,0,11.4,100,10,,
2,10,0,0,11.4,100,10,,
3,10,0,0,11.4,100,10,,
4,10,0,0,11.4,100,10,,
5,10,0,0,11.4,100,10,,
6,10,0,0,11.4,100,10,,
7,10,0,0,11.4,100,10,,
8,8,0,2,11.4,100,10,,
9,9,1,0,11.2265,98.56474,10,,
10,7,0,2,11.17693,98.15466,10,,
11,6,0,1,11.13976,97.84711,10,,
12,6,0,0,11.13976,97.84711,10,,
13,7,1,0,11.10979,96.58997,10,,
14,7,0,0,11.10979,96.58997,10,,
15,7,0,0,11.10979,96.58997,10,,
16,8,1,0,11.14562,99.34551,10,,
17,9,1,0,11.02349,97.26842,10,,
18,8,0,1,11.1716,98.54165,10,,
19,8,0,0,11.1716,98.54165,10,,
20,9,1,0,10.90375,100.1402,10,,
21,10,1,0,10.97424,99.61302,10,,
22,10,0,0,10.97424,99.61302,10,,
23,10,0,0,10.97424,99.61302,10,,
24,12,2,0,10.90941,101.1318,10,,
25,12,1,1,10.89102,103.1455,10,,
26,11,0,1,10.82579,103.898,10,,
27,10,0,1,10.76836,104.2878,10,,
28,8,1,3,11.05592,101.9694,10,,
29,6,0,2,11.16682,105.8506,10,,
30,5,0,1,11.12018,107.0207,10,,
31,4,0,1,11.17653,108.7914,10,,
Day, Trees count, Trees Born, Trees Died, AverageHeight,,,,
1,71,71,0,2.06757,,,,
2,71,0,0,2.06757,,,,
3,65,4,10,2.111006,,,,
4,90,35,10,2.181976,,,,
5,88,10,12,2.186676,,,,
6,99,20,9,2.268344,,,,
7,104,11,6,2.277715,,,,
8,105,10,9,2.278129,,,,
9,101,6,10,2.278091,,,,
10,99,6,8,2.324994,,,,
11,100,4,3,2.339339,,,,
12,95,2,7,2.392114,,,,
13,94,2,3,2.408195,,,,
14,92,2,4,2.457942,,,,
15,91,0,1,2.454559,,,,
16,88,0,3,2.460266,,,,
17,87,1,2,2.447206,,,,
18,83,0,4,2.442184,,,,
19,79,1,5,2.443506,,,,
20,77,1,3,2.425027,,,,
21,77,0,0,2.425027,,,,
22,75,0,2,2.427973,,,,
23,75,1,1,2.4031,,,,
24,76,1,0,2.385783,,,,
25,76,0,0,2.385783,,,,
26,77,1,0,2.36465,,,,
27,76,0,1,2.358289,,,,
28,77,1,0,2.341162,,,,
29,77,0,0,2.341162,,,,
30,78,1,0,2.322556,,,,
31,77,0,1,2.320819,,,,
Day, Deers count, Deers Born, Deers Died, AverageRunSpeed, AverageRadius, AverageStamina, AverageNeckHeight, AverageStartFleeDistance
1,260,260,0,9,100,15,2,40
2,260,260,0,9,100,15,2,40
3,257,260,3,9,100,15,2,40
4,341,349,8,8.990768,100.0236,14.92552,2.005683,40.16761
5,386,397,11,8.972866,100.0582,15.00385,1.999236,40.16088
6,454,467,13,8.943102,100.1699,14.99673,2.001812,40.16998
7,460,518,58,8.95223,100.1832,14.98868,2.011596,40.21487
8,448,565,117,8.967221,100.2001,14.99539,2.009506,40.07602
9,446,609,163,8.967304,100.3171,14.97423,2.029009,40.35748
10,377,647,270,8.96912,100.1735,14.95881,2.057441,40.32379
11,332,679,347,8.92001,100.5426,14.92676,2.093636,40.31805
12,285,701,416,8.876057,99.77988,14.79276,2.119306,40.49145
13,252,721,469,8.932721,100.4536,14.83795,2.143642,40.43348
14,208,738,530,8.932909,100.2596,14.93239,2.177048,40.3493
15,163,750,587,8.8316,101.1597,14.96317,2.213854,40.95148
16,137,757,620,8.850918,100.8082,14.88415,2.22815,41.37806
17,99,760,661,9.057911,102.0194,15.02259,2.287589,42.00884
18,76,768,692,9.295239,102.2015,14.85215,2.342568,42.062
19,63,775,712,9.479053,100.3522,14.77447,2.468341,43.58849
20,53,780,727,9.82058,98.10112,14.69944,2.553311,44.04543
21,43,787,744,10.44442,97.50483,14.84187,2.593206,44.4439
22,34,790,756,11.032,99.54958,14.59024,2.654616,47.41758
23,35,796,761,11.29167,101.3776,14.58371,2.716337,45.93162
24,23,798,775,12.4703,104.277,15.24074,2.847928,51.92838
25,20,800,780,12.8802,104.9516,15.45277,2.85084,51.72491
26,20,801,781,12.46525,103.9239,15.30929,2.840765,50.39935
27,15,802,787,12.73119,102.5692,14.8444,2.968633,57.49751
28,11,802,791,12.56524,99.34058,14.87976,2.922347,52.57628
29,7,802,795,12.74167,99.02449,15.01144,3.089355,57.7317
30,6,802,796,13.43722,95.93301,15.07605,3.080529,59.67154
31,4,802,798,13.93688,96.01573,15.12368,3.121573,57.16356
